11/06/2023 Nicholls St.            81 Tulane                  91    
11/06/2023 Central Arkansas        53 Tulsa                   70    
11/06/2023 Bradley                 73 UAB                     71 1  
11/06/2023 Jessup                  51 UC Davis                86    
11/06/2023 Denver                  87 UC San Diego            95    
11/06/2023 FIU                     62 UCF                     85    
11/06/2023 Saint Francis           44 UCLA                    75    
11/06/2023 Rivier                  51 UMass Lowell            96    
11/06/2023 Avila                   48 UMKC                    79    
11/06/2023 Mount Olive             66 UNC Wilmington         105    
11/06/2023 Oral Roberts            71 UT Arlington            75    
11/06/2023 Southwestern Adventist  59 UT Rio Grande Valley   110    
11/06/2023 Eastern Washington      66 Utah                   101    
11/06/2023 South Dakota Mines      48 Utah St.               101    
11/06/2023 Carroll MT              73 Utah Valley             81    
11/06/2023 McMurry                 71 UTEP                   120    
11/06/2023 Western Illinois        68 UTSA                    78 1  
11/06/2023 Trinity Christian       61 Valparaiso             100    
11/06/2023 McNeese St.             76 VCU                     65    
11/06/2023 Merrimack               55 Vermont                 67    
11/06/2023 American                63 Villanova               90    
11/06/2023 Tarleton St.            50 Virginia                80    
11/06/2023 Coppin St.              55 Virginia Tech          100    
11/06/2023 Elon                    78 Wake Forest            101    
11/06/2023 Bellarmine              57 Washington              91    
11/06/2023 Idaho                   59 Washington St.          84    
11/06/2023 Missouri St.            59 West Virginia           67    
11/06/2023 Kentucky Wesleyan       64 Western Kentucky        90    
11/06/2023 North Dakota St.        80 Western Michigan        76 1  
11/06/2023 Lipscomb                59 Wichita St.             76    
11/06/2023 Regent                  29 William & Mary          84    
11/06/2023 Arkansas St.            76 Wisconsin              105    
11/06/2023 Brevard                 68 Wofford                 85    
11/06/2023 Robert Morris           63 Xavier                  77    
11/06/2023 Vassar                  53 Yale                   102    
11/07/2023 Oakland City            49 Appalachian St.         87    
11/07/2023 Goshen                  40 Ball St.               101    
11/07/2023 Auburn                  82 Baylor                  88 N   Sioux Falls, SD
11/07/2023 Vanguard                55 Boise St.               89    
11/07/2023 Florida A&M             54 Creighton              105    
11/07/2023 Purdue Fort Wayne       82 DePaul                  74    
11/07/2023 West Virginia Tech      72 Eastern Kentucky       108    
11/07/2023 Le Moyne                57 Georgetown              94    
11/07/2023 Florida Gulf Coast      63 Indiana                 69    
11/07/2023 North Dakota            68 Iowa                   110    
11/07/2023 Brescia                 41 Jacksonville St.        91    
11/07/2023 Oakwood                 46 Kennesaw St.            93    
11/07/2023 Drexel                  61 La Salle                67    
11/07/2023 Westcliff               68 Loyola Marymount       109    
11/07/2023 Mount St. Mary's        53 Maryland                68    
11/07/2023 Albany                  71 Massachusetts           92    
11/07/2023 UNC Asheville           74 Michigan                99    
11/07/2023 Northwest Indian        59 Montana                107    
11/07/2023 Sacramento St.          63 Nevada                  77    
11/07/2023 Northern Iowa           77 North Texas             83 1  
11/07/2023 St. Thomas TX           57 Rice                   101    
11/07/2023 UC Irvine               64 San Jose St.            72    
11/07/2023 Stony Brook             74 St. John's              90    
11/07/2023 Southwestern Adventist  46 Texas A&M Corpus Chris 111    
11/07/2023 California Merced       69 UC Riverside            76    
11/07/2023 Presbyterian            68 Vanderbilt              62    
11/07/2023 Benedictine Mesa        62 Weber St.               96    
11/07/2023 Dalton St.              65 Western Carolina       106    
11/07/2023 Northern New Mexico     56 Wyoming                104    
11/08/2023 Xavier LA               62 Alcorn St.              70    
11/08/2023 Fisher                  79 Bryant                 140    
11/08/2023 Defiance                41 Cleveland St.          102    
11/08/2023 Morrisville St.         86 Cornell                107    
11/08/2023 Goldey Beacom           68 Delaware               101    
11/08/2023 Lipscomb                70 Drake                   85    
11/08/2023 Monmouth IL             45 Eastern Illinois        91    
11/08/2023 Penn St. Brandywine     63 Fairleigh Dickinson    107    
11/08/2023 Florida Atlantic        75 Loyola Chicago          62 n   Chicago, IL
11/08/2023 Maine Presque Isle      59 Maine                  111    
11/08/2023 Arizona St.             56 Mississippi St.         71 N   Chicago, IL
11/08/2023 Shawnee St.             40 Morehead St.            96    
11/08/2023 Curry                   38 New Hampshire          115    
11/08/2023 Sul Ross St.            49 New Mexico St.          84    
11/08/2023 Mount Marty             66 North Dakota St.        93    
11/08/2023 Northern New Mexico     60 Northern Colorado       81    
11/08/2023 Troy                    70 Ohio                    88    
11/08/2023 Bucknell                61 Penn                    80    
11/08/2023 Lewis & Clark           72 Portland                89    
11/08/2023 Lincoln MO              66 Saint Louis            102    
11/08/2023 Jackson St.             61 San Diego               87    
11/08/2023 Utah Tech               69 Santa Clara             77    
11/08/2023 Prairie View A&M        60 Seattle                 71    
11/08/2023 Western Illinois        53 SMU                     90    
11/08/2023 Dakota Wesleyan         55 South Dakota St.        83    
11/08/2023 Canisius                77 Syracuse                89    
11/08/2023 Texas A&M Commerce      46 Texas Tech              73    
11/08/2023 Southern                85 UNLV                    71    
11/08/2023 Brevard                 44 Winthrop                98    
11/09/2023 Champion Christian      73 Arkansas Pine Bluff    116    
11/09/2023 John Brown              70 Baylor                  96    
11/09/2023 North Florida           81 Charleston Southern     70    
11/09/2023 Mercer                  66 Chicago St.             61    
11/09/2023 Towson                  70 Coppin St.              49    
11/09/2023 Cal Poly                76 Denver                  97    
11/09/2023 East Tennessee St.      76 Elon                    79    
11/09/2023 St. Louis Pharmacy      46 Evansville             116    
11/09/2023 Tarleton St.            82 FIU                     65    
11/09/2023 Howard                  85 Georgia Tech            88    
11/09/2023 St. Francis IL          56 Green Bay               72    
11/09/2023 Mid Atlantic Christian  46 Hampton                109    
11/09/2023 Cal St. Northridge      76 Idaho                   73    
11/09/2023 Lindenwood              47 Iowa St.               102    
11/09/2023 James Madison          113 Kent St.               108 2  
11/09/2023 Worcester St.           72 Merrimack               93    
11/09/2023 Southern Indiana        51 Michigan St.            74    
11/09/2023 Stephen F. Austin       62 Middle Tennessee        67 1  
11/09/2023 Cheyney                 52 Morgan St.             100    
11/09/2023 Florida A&M             54 Nebraska                81    
11/09/2023 The Apprentice School   56 Norfolk St.             90    
11/09/2023 Alabama A&M             67 North Alabama           83    
11/09/2023 Virginia Lynchburg      54 North Carolina Central 107    
11/09/2023 Columbia International  58 Presbyterian           100    
11/09/2023 Andrews                 34 Purdue Fort Wayne      130    
